City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,Taoudenni,ML,76.32,clear sky,22.6783,-3.9836,
1,Saint-Louis,SN,76.64,clear sky,16.3333,-15.0,
2,Kalmunai,LK,79.12,clear sky,7.4167,81.8167,VS Villa
3,Tucuman,AR,60.8,clear sky,-26.8241,-65.2226,Dallas Hotel Tucuman
4,Tessalit,ML,72.5,clear sky,20.1986,1.0114,
6,Buala,SB,83.37,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
12,Vaini,TO,84.36,few clouds,-21.2,-175.2,Keleti Beach Resort
15,Hobart,AU,61.02,broken clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
16,Airai,TL,72.07,overcast clouds,-8.9266,125.4092,
17,Puerto Ayora,EC,76.08,broken clouds,-0.7393,-90.3518,Finch Bay Galapagos Hotel
18,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
19,Majene,ID,84.25,moderate rain,-3.5403,118.9707,Kost Putri RABBANI
22,Adrar,MR,79.14,clear sky,20.5022,-10.0711,
25,Catuday,PH,81.7,broken clouds,16.2923,119.8062,Benjie's Kubo & Cottages
28,Saint-Philippe,RE,72.21,light rain,-21.3585,55.7679,"Chambres d'hôte ""La Trinité"""
29,Arlit,NE,80.58,scattered clouds,18.7369,7.3853,Case de Passage De la Prefecture
31,Broken Hill,AU,74.91,clear sky,-31.95,141.4333,Royal Exchange Hotel
32,Mangai,CD,69.42,overcast clouds,-4.05,19.5333,
37,Wanning,CN,78.85,broken clouds,18.8003,110.3967,Paradise Hotel
38,Felipe Carrillo Puerto,MX,76.01,clear sky,19.5833,-88.05,Hotel La Ceiba
42,Busselton,AU,66.13,overcast clouds,-33.65,115.3333,Observatory Guest House
45,Mehtar Lam,AF,66.99,clear sky,34.6714,70.2094,Fareed Hakamani
46,Hilo,US,83.28,light rain,19.7297,-155.09,Hilo Hawaiian Hotel
47,Kahului,US,77.97,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
49,Marsa Matruh,EG,61.0,clear sky,31.3525,27.2453,Beau Site
50,Mount Gambier,AU,60.71,overcast clouds,-37.8333,140.7667,The Commodore
52,Laguna,US,71.76,clear sky,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
55,Hithadhoo,MV,82.51,scattered clouds,-0.6,73.0833,Scoop Guest House
57,New Norfolk,AU,61.66,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
58,Thabazimbi,ZA,66.83,broken clouds,-24.5917,27.4116,Eagle's Rest
60,Luwuk,ID,84.6,overcast clouds,-0.9516,122.7875,Hotel Santika Luwuk
61,Coelho Neto,BR,73.54,overcast clouds,-4.2567,-43.0128,Hotel Tejof
62,Lompoc,US,66.02,mist,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
63,Nouadhibou,MR,62.58,clear sky,20.931,-17.0347,El Medina
64,Laredo,US,88.09,clear sky,27.5064,-99.5075,La Quinta Inn by Wyndham Laredo I-35
65,Buraydah,SA,73.85,clear sky,26.326,43.975,Mövenpick Qassim
68,Arraial Do Cabo,BR,72.88,clear sky,-22.9661,-42.0278,Pousada Porto Praia
69,San Andres,CO,82.42,few clouds,12.5847,-81.7006,Hotel Arena Blanca
72,Rikitea,PF,77.58,clear sky,-23.1203,-134.9692,People ThankYou
74,Pitimbu,BR,81.19,broken clouds,-7.4706,-34.8086,Reserva do Abiaí
75,Chetumal,MX,80.62,clear sky,18.5,-88.3,Hotel & Suites Arges - - Pet Friendly
76,Butaritari,KI,81.77,light rain,3.0707,172.7902,Isles Sunset Lodge
77,Zemio,CF,69.55,overcast clouds,5.0314,25.1361,OCHA Office
78,Buin,CL,64.06,clear sky,-33.7333,-70.75,Paihuen
79,Ponta Do Sol,PT,64.71,overcast clouds,32.6667,-17.1,Hotel do Campo
81,Kodinar,IN,77.99,clear sky,20.7903,70.7031,residency of N.B vadhel
82,Kapaa,US,82.38,overcast clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
83,Kroya,ID,81.36,broken clouds,-7.6331,109.2461,Devina kost & Homestay Kroya
84,Sambava,MG,77.0,moderate rain,-14.2667,50.1667,Melrose
85,Lindi,TZ,73.35,overcast clouds,-10.0,39.7167,Lindi paradise house
90,Grand Gaube,MU,76.37,light rain,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
92,Kabare,CD,62.31,heavy intensity rain,-2.4683,28.8242,Hôtel Panorama
94,Antsohihy,MG,77.41,clear sky,-14.8796,47.9875,Hotel de Ville
100,Atuona,PF,79.18,few clouds,-9.8,-139.0333,Villa Enata
102,Faanui,PF,82.4,clear sky,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
110,Rawah,IQ,60.64,clear sky,34.4816,41.9093,
111,Chuy,UY,62.01,broken clouds,-33.6971,-53.4616,Nuevo Hotel Plaza
112,Saint George,US,77.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
113,Avarua,CK,84.25,scattered clouds,-21.2078,-159.775,Paradise Inn
115,Port Shepstone,ZA,64.87,light rain,-30.7414,30.455,My Den Beachfront Bed and Breakfast | Self-Catering
118,Ponta Delgada,PT,61.52,few clouds,37.7333,-25.6667,Vila Nova Hotel
