City ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description,Rain inches (last 3hrs),Snow inches (last 3hrs)
0,Taoudenni,ML,2022-04-16 00:54:38,22.6783,-3.9836,76.32,19,0,13.47,clear sky,0.0,0.0
1,Saint-Louis,SN,2022-04-16 00:54:38,16.3333,-15.0,76.64,38,6,12.35,clear sky,0.0,0.0
2,Kalmunai,LK,2022-04-16 00:54:38,7.4167,81.8167,79.12,86,6,9.24,clear sky,0.0,0.0
3,Tucuman,AR,2022-04-16 00:54:39,-26.8241,-65.2226,60.8,88,0,2.3,clear sky,0.0,0.0
4,Tessalit,ML,2022-04-16 00:54:39,20.1986,1.0114,72.5,18,1,12.77,clear sky,0.0,0.0
5,Hermanus,ZA,2022-04-16 00:54:39,-34.4187,19.2345,56.8,69,55,15.08,broken clouds,0.0,0.0
6,Buala,SB,2022-04-16 00:54:39,-8.145,159.5921,83.37,69,100,6.6,overcast clouds,0.0,0.0
7,Thompson,CA,2022-04-16 00:54:40,55.7435,-97.8558,23.16,39,75,13.8,broken clouds,0.0,0.0
8,Sao Francisco De Assis,BR,2022-04-16 00:52:18,-29.5503,-55.1311,54.57,85,2,3.58,clear sky,0.0,0.0
9,Mataura,NZ,2022-04-16 00:54:40,-46.1927,168.8643,53.47,54,19,14.16,few clouds,0.0,0.0
10,Punta Arenas,CL,2022-04-16 00:54:41,-53.15,-70.9167,46.51,81,20,19.57,light rain,0.0,0.0
11,Ushuaia,AR,2022-04-16 00:51:47,-54.8,-68.3,44.26,76,40,24.16,scattered clouds,0.0,0.0
12,Vaini,TO,2022-04-16 00:54:41,-21.2,-175.2,84.36,70,20,10.36,few clouds,0.0,0.0
13,Pevek,RU,2022-04-16 00:54:42,69.7008,170.3133,19.04,85,62,3.24,broken clouds,0.0,0.0
14,Fortuna,US,2022-04-16 00:54:42,40.5982,-124.1573,47.08,79,100,2.42,light rain,0.0,0.0
15,Hobart,AU,2022-04-16 00:50:28,-42.8794,147.3294,61.02,66,75,8.05,broken clouds,0.0,0.0
16,Airai,TL,2022-04-16 00:54:42,-8.9266,125.4092,72.07,65,88,1.25,overcast clouds,0.0,0.0
17,Puerto Ayora,EC,2022-04-16 00:52:38,-0.7393,-90.3518,76.08,88,80,8.34,broken clouds,0.0,0.0
18,Souillac,MU,2022-04-16 00:54:43,-20.5167,57.5167,75.58,94,40,14.97,light rain,0.0,0.0
19,Majene,ID,2022-04-16 00:54:43,-3.5403,118.9707,84.25,73,97,5.08,moderate rain,0.0,0.0
20,Mao,ES,2022-04-16 00:54:44,39.8885,4.2658,52.36,93,0,3.44,clear sky,0.0,0.0
21,Jamestown,US,2022-04-16 00:54:44,42.097,-79.2353,53.53,41,100,8.05,overcast clouds,0.0,0.0
22,Adrar,MR,2022-04-16 00:54:44,20.5022,-10.0711,79.14,14,2,8.46,clear sky,0.0,0.0
23,Ornskoldsvik,SE,2022-04-16 00:54:44,63.2909,18.7153,25.75,100,75,2.3,broken clouds,0.0,0.0
24,Kosonsoy,UZ,2022-04-16 00:54:45,41.2561,71.5508,57.76,33,19,6.06,few clouds,0.0,0.0
25,Catuday,PH,2022-04-16 00:54:45,16.2923,119.8062,81.7,63,57,3.53,broken clouds,0.0,0.0
26,Yellowknife,CA,2022-04-16 00:50:33,62.456,-114.3525,21.72,49,75,6.91,broken clouds,0.0,0.0
27,Ferrol,ES,2022-04-16 00:54:46,43.4832,-8.2369,55.67,87,0,1.77,clear sky,0.0,0.0
28,Saint-Philippe,RE,2022-04-16 00:54:46,-21.3585,55.7679,72.21,85,48,14.99,light rain,0.0,0.0
29,Arlit,NE,2022-04-16 00:54:46,18.7369,7.3853,80.58,11,27,11.54,scattered clouds,0.0,0.0
30,Uyuni,BO,2022-04-16 00:54:47,-20.4597,-66.825,44.69,18,0,10.71,clear sky,0.0,0.0
31,Broken Hill,AU,2022-04-16 00:54:47,-31.95,141.4333,74.91,33,0,10.36,clear sky,0.0,0.0
32,Mangai,CD,2022-04-16 00:54:47,-4.05,19.5333,69.42,100,100,1.3,overcast clouds,0.0,0.0
33,Dikson,RU,2022-04-16 00:54:48,73.5069,80.5464,17.26,96,100,5.23,light snow,0.0,0.0
34,Husavik,IS,2022-04-16 00:54:48,66.0449,-17.3389,39.96,74,100,12.73,overcast clouds,0.0,0.0
35,Terrace Bay,CA,2022-04-16 00:54:48,48.7834,-87.1,25.97,79,100,15.57,overcast clouds,0.0,0.0
36,Barrow,US,2022-04-16 00:54:49,71.2906,-156.7887,5.52,83,7,22.39,clear sky,0.0,0.0
37,Wanning,CN,2022-04-16 00:54:49,18.8003,110.3967,78.85,80,76,9.62,broken clouds,0.0,0.0
